Group,Volume,Tier,Keywords,KeywordCount,Category
1,37600,1,citi cards - citi cares,2,Major Bank Credit Cards
2,4200,2,missionlane,1,Store Credit Cards
3,22250,1,credit one credit card - credit one bank card,2,Major Bank Credit Cards
4,47500,1,one walmart - onewalmart com,2,Store Credit Cards
5,15660,1,ollo card - ollo.card - reviews on ollo credit card,3,Credit Card Benefits
6,46040,1,first premier bank - firstpremier bank,2,Major Bank Credit Cards
7,15360,1,united airlines credit card - mileageplus credit card - united airlines card - united airlines credit cards - mileage plus credit card - united airlines visa credit card - united airlines visa card - mileageplus credit cards - united airlines mileageplus credit card - mileageplus united credit card,10,Airline Credit Cards
8,14960,1,mission lane credit card - mission lane visa - mission lane visa credit card - mission one credit card,4,Starter Credit Cards
9,28500,1,comenity - comenitybank,2,Store Credit Cards
10,14080,1,amerian express - american expres - american expresss - amerianexpress,4,Major Bank Credit Cards
11,16560,1,card match - cardmatch - cardmatch tool - card match tool - credit card match - credit card matcher - creditcard match,7,Credit Card Benefits
12,11700,1,pnc credit card - pnc credit cards,2,Major Bank Credit Cards
13,43400,1,american express credit card,1,Major Bank Credit Cards
14,9300,2,menards credit card - menards big card,2,Store Credit Cards
15,47840,1,citibank credit card - citybank credit card - citi bank creditcard,3,Major Bank Credit Cards
16,6228,2,reflex card application - apply for reflex credit card - reflex credit card application,3,Major Bank Credit Cards
17,8445,2,bank of america travel center - bank of america travel center link - bank of america travel center booking - bofa travel center - boa travel center - bankofamerica travel center - travel center bank of america - bank of america travel rewards center - bank of america travel portal - bank america travel center - bank of america travel rewards travel center,11,Airline Credit Cards
18,100045,1,sam's club credit card - sams club credit card - sam's credit card - sams credit card - samsclub credit card - sams credit - sam's mastercard - sams mastercard - sam club credit card - sams master card - sam credit card - sams creditcard - sam's club credit cards - sam's club cc - sams club credit card.com - sam club credit - sams cc - sams club cc - sam's credit - sam's club credit services - sam's club card credit - sam's club charge card - sams club visa - sams club/credit - samclub credit card - samsclubcredit card - samsclubcreditcard,27,Store Credit Cards
19,43315,1,delta credit card - delta credit cards - delta skymiles credit card - delta airlines credit card - delta airline credit card - delta cards - delta airlines card - delta airlines credit cards - credit card delta - delta visa card - delta miles card - delta air lines credit card - delta travel credit cards - delta sky miles credit card - delta skymiles credit cards,15,Airline Credit Cards
20,2720,2,amazon credit builder - amazon credit builder card,2,Starter Credit Cards
21,3420,2,genesis card services - genesis card service - genesis credit card,3,Store Credit Cards
22,1650,2,introductory rate definition - introductory rate,2,Credit Card Benefits
23,32200,1,walmart money card,1,Store Credit Cards
24,1200,2,american express credit card application,1,Major Bank Credit Cards
25,42800,1,samsclub credit - sam's club credit - sams club credit - samsclub/credit - sam's club synchrony - sam's club/credit - sams credit card online payment - pay sam's club credit card online - sam's club credit card online - sam's club credit card login mastercard,10,Store Credit Cards
26,19315,1,capital one card - capitalone credit card - capitalone card - capital onecredit card - capitalonecreditcard - capital on credit card - one capital credit card - capitalone creditcard - capital cards - capital 1 credit card - capitol one credit card - capitol one card - cap one credit card - capitol 1 credit card - capital one credit car - capitolone credit card,16,Store Credit Cards
27,18025,1,american express credit cards - american express cards - americanexpress cards - america express credit cards - credit cards american express - credit card amex,6,Major Bank Credit Cards
28,62825,1,indigo credit card - indigo card - indigo mastercard - indigo platinum - indigo platinum mastercard - indigo credit - indigocreditcard - indigo master card - indigo visa card - indigocard - indigo bank card - indigo cards,12,Store Credit Cards
29,5065,2,gapvisa - gap visa card - the gap credit card - the gap card - credit card gap - gap credit card visa,6,Store Credit Cards
30,111360,1,equifax credit freeze - equifax unfreeze - equifax credit freeze lift - equifax freeze - equifax lift freeze - equifax freeze lift - does the equifax security freeze website work - credit freeze equifax - freeze my credit with equifax - freeze credit equifax - freeze equifax account - freeze equifax - free equifax credit freeze - equifax unfreeze credit report - how to freeze equifax credit report - freezing credit report with equifax - how to freeze my equifax credit report - free freeze equifax - equifax freeze number - freeze.equifax - equifax unfreeze account - remove security freeze equifax - equifax lift security freeze - equifax credit lift - lift security freeze equifax - credit freeze at equifax - equifax credit freeze by phone - freeze my credit equifax - equifax unfreeze credit - equifax freeze credit - equifax credit thaw - freeze credit report equifax - equifax credit freeze free - free credit freeze equifax - lifting equifax credit freeze - equifax unfreeze my credit - freeze my equifax credit report - equifax freeze credit report - equifax credit report freeze - unfreeze credit report equifax - equifax.com credit freeze - credit security freeze equifax,42,Credit Score
31,23900,1,gobank,1,Store Credit Cards
32,5135,2,capital one cards - credit cards capital one - capitol one cards - capitalone cards - credit cards by capital one,5,Major Bank Credit Cards
33,9000,2,petal credit card,1,Store Credit Cards
34,37050,1,citi double cash - citi double cash card - city double cash card - citi doublecash - city double cash - citibank double cash card - citi double cash credit card - citibank double cash credit card,8,Major Bank Credit Cards
35,18420,1,fortiva credit card - fortiva credit cards - fortiva mastercard - fortive credit card,4,Bad Credit
36,7265,2,pital one - capitalon - capital one. - capital one' - capital one] - capitalonecard - capitalon one - c apital one,8,Major Bank Credit Cards
37,22420,1,sam's club mastercard - sams club mastercard - sam's club master card - samsclubmastercard - samsclub mastercard - sam club mastercard,6,Store Credit Cards
38,4000,2,freedom flex vs freedom - freedom vs freedom flex - chase freedom vs freedom flex - chase freedom flex vs freedom - chase flex vs freedom - chase freedom vs chase freedom flex,6,Major Bank Credit Cards
39,31365,1,creditonebank - credit 1 bank - credit bank one - credit 0ne - www.credit one bank - credit one bank full site - bank credit one - credit one banks,8,Major Bank Credit Cards
40,28865,1,credit cards for students - student credit cards - credit card college students - credit card college student - credit cards for college students - student credit card - credit card for college students - college student credit cards - credit card for students - credit cards for students in college - student card - college student credit card - student cards - college credit card - college students credit cards - student credit - cards for students - credit card student - credit cards for student - students credit card - student visa credit cards - college students credit card - credit cards student - credit card for student - student credit card apply,25,Starter Credit Cards
41,81235,1,chase freedom calendar - chase 5 calendar - chase 5% - chase freedom 5 calendar - chase freedom cash back calendar - chase cash back calendar - chase rewards calendar - chase freedom rewards calendar - chase cashback calendar - chase 5% calendar - chase freedom 5% calendar - freedom 5 calendar - chase freedom 5 - chase freedom 5 percent calendar - chase 5% category - freedom chase calendar - freedom cash back calendar - chase 5 percent calendar - freedom bonus categories - chase visa rewards calendar - chase ultimate rewards calendar - chase calendar freedom - chase freedom 5 categories - chase freedom reward schedule - freedom card calendar - chase freedom reward calendar - chase reward calendar - chase freedom unlimited rewards calendar - freedom rewards calendar - chase credit card rewards calendar - chase freedom unlimited calendar - chase credit card calendar - chase cash rewards calendar - chase visa cash back calendar - freedom category - chase 5 cash back calendar - freedom categories - chase freedom cashback calendar - chase freedom categories calendar - chase 5 - chase freedom card calendar - chase freedom 5% categories - freedom card categories - chase freedom card categories,44,Major Bank Credit Cards
42,44260,1,discover cashback calendar - discover calendar - discover rewards calendar - discover card calendar - discover it calendar - discover it categories - discover cash back calendar - discover card rewards calendar - discover quarterly - discover rotating categories - discover cashback categories - discover it rewards calendar - discover bonus categories - discover it cash back calendar - discover card cashback calendar - discover 5% categories - discover quarterly rewards - discover card 5 calendar - discover it cashback calendar - discover cashback schedule - discover 5x - discover card cash back calendar - discover 5% category - discover reward calendar - discover cashback bonus calendar - discover 5 percent calendar - discover quarterly calendar - discover card bonus categories - discover it card calendar - discover credit card calendar - discover it bonus categories - discover credit card cash back calendar - discover it 5 calendar - discover it quarterly,34,Major Bank Credit Cards
43,5345,2,brex card - brex credit card - brex business card - brex corporate card - brex business credit card,5,Business Finance
44,6200,2,uber pass,1,Personal Loans
45,5310,2,capital one walmart card - capital one walmart rewards card,2,Store Credit Cards
46,7800,2,upgrade credit card - upgrade card,2,Major Bank Credit Cards
47,4990,2,annual fee definition - define annual fee - credit card annual fee definition,3,Credit Card Benefits
48,8825,2,best buy credit - best buys credit card - bestbuy visa card - citibank credit card best buy - bestbuy citi credit card - my best buy citi credit card - bby credit card,7,Store Credit Cards
49,10900,1,aspire credit card,1,Major Bank Credit Cards
50,3700,2,citibank card,1,Major Bank Credit Cards
51,19250,1,sears mastercard - searsmastercard - sears.mastercard - sears master card - sears credit card mastercard - sears mastercard credit card - sears citi card - sears credit - citi sears card - sears credit card citibank - sears credit cards - sears charge card - sears card citi - sears cards - sears sears credit card - sears citi credit card - sears outlet credit card - citibank sears card - sears card credit - sears citibank card - sears gold card - sears credit card company,22,Store Credit Cards
52,15350,1,credit one credit card login - credit one visa login - creditone visa login - creditone card login - credit one credit cards login - creditone credit card login,6,Major Bank Credit Cards
53,37640,1,chase freedom categories - chase freedom 5% - freedom 5% - chase pay 5% - freedom cash back - chase freedom 5 percent - chase card 5 cash back - visa freedom rewards - chase freedom 5 cash back - chase bonus categories - chase freedom 5% cash back - chase 5 categories - chase freedom credit card categories,13,Major Bank Credit Cards
54,13520,1,creditone bank - credit one back,2,Major Bank Credit Cards
55,3870,2,aceflare - ace flare metabank - ace flare account by metabank,3,Personal Loans
56,4445,2,what stores bank with comenity bank - comenity bank stores - stores that use comenity bank - what stores use comenity bank - comenity bank credit card list - comenity bank credit cards list - comenity bank store credit cards - comenity cards - list of comenity credit cards - credit cards issued by comenity bank - what retail stores use comenity bank - store cards with comenity bank,12,Store Credit Cards
57,16200,1,self lender,1,Personal Loans
58,2400,2,chase freedom unlimited credit score,1,Credit Score
59,11845,1,citi double cash login - city double cash login - citi double cash card login - citibank double cash login - citi credit card double cash login - citi doublecash login - citi double cash card sign in - citi double cash sign in - citi double cash credit card login - citibank double cash credit card login,10,Major Bank Credit Cards
60,2700,2,surge mastercard,1,Major Bank Credit Cards
61,4600,2,genesis fs card services - genesis fs card - genesis fs,3,Major Bank Credit Cards
62,29305,1,milestone credit card - milestone mastercard - milestone card - milestone gold mastercard - milestones credit card - milestone credit - milestone credit card.com - milestone gold card - milestone cc - milestone secured credit card - my milestone mastercard - milestonecreditcard - milestone bank - my milestone card - my milestone credit card,15,Starter Credit Cards
63,17590,1,wells fargo propel american expressÂ® card - wells fargo propel card - propel american express - wells fargo amex - propel credit card - propel wells fargo - amex propel - wells fargo propel amex - propel card wells fargo - wells fargo amex propel - propel card - wells fargo credit card propel,12,Major Bank Credit Cards
64,1335,2,comenity bank cards - what is comenity,2,Store Credit Cards
65,15800,1,ollo,1,No Credit Credit Cards
66,26250,1,credit card rewards - rewards credit cards - credit cards with best rewards - credit cards rewards best - reward credit cards - credit cards with good rewards - credit rewards cards - rewards cards - the best reward credit cards - points credit cards - credit cards rewards - credit card best rewards - credit card with best benefits - credit cards with best benefits - top credit card rewards - rewards credit card - reward cards - highest credit card rewards - which credit card has the best rewards - credit card programs - good rewards credit cards - what credit card has the best rewards - credit card with the best rewards - credit card for best rewards - high reward credit cards - top credit cards for rewards - credit card with good rewards - top rated credit cards for rewards - credit cards for points - credit card for rewards - top points credit cards - what credit card gives the best rewards - credit card offers rewards - highest rewards credit card - which credit card gives the best rewards - great rewards credit cards - credit cards for rewards - who has the best credit card rewards - what are the best credit cards for rewards - credit cards with points - credit cards with great benefits - what is best rewards credit card - credit card reward - which credit card offers the best rewards - top 5 rewards credit cards - credit card for points - top credit cards with rewards - top credit cards rewards - credit card with reward points - what are the best reward credit cards - credit card rewards programs - credit card with best rewards program - credit cards rewards programs - credit card with points - top 10 rewards credit cards - the best rewards credit card - best credit card reward scheme - credit card with most perks - credit card reward best - what is the best credit card for rewards - credit card with the most perks - credit card incentives - credit card with most rewards - most benefits credit card - what credit card has best rewards - high points credit cards - what is the best credit card for points - credit cards that earn points - the best credit cards for points - which credit card is best for rewards - what credit card has the best rewards program - what credit card offers the best rewards - which credit card has the best rewards program - credit cards with the best rewards - reward credit card - credit card perks - credit card with benefits,77,Credit Card Benefits
